Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Heart_Rate_Reserve,Calories_Per_Hour,Water_Intake_Per_Hour,BMI_Category
19,Female,64.0,1.53,166,167,58,1.33,1111.0,HIIT,29.8,2.3,3,2,27.34,108,835.3383458646616,1.7293233082706765,Overweight
41,Female,43.8,1.77,182,165,58,1.19,884.0,Cardio,31.9,1.6,3,1,13.98,124,742.8571428571429,1.3445378151260505,Underweight
47,Female,66.8,1.75,199,146,56,1.13,742.0,Strength,32.8,2.5,3,2,21.81,143,656.637168141593,2.212389380530974,Normal
55,Female,75.2,1.67,188,167,51,1.37,1030.0,HIIT,25.2,2.2,2,1,26.96,137,751.8248175182481,1.6058394160583942,Overweight
19,Male,89.0,1.77,175,127,72,1.5,1048.0,Strength,28.9,3.7,4,2,28.41,103,698.6666666666666,2.466666666666667,Overweight
38,Male,71.9,1.77,197,142,72,1.12,875.0,Cardio,25.7,3.1,2,1,22.95,125,781.2499999999999,2.767857142857143,Normal
50,Female,71.0,1.68,187,161,70,1.17,848.0,Yoga,33.1,2.5,2,1,25.16,117,724.7863247863248,2.1367521367521367,Overweight
29,Male,120.9,1.78,197,168,65,0.78,721.0,Yoga,28.1,3.4,2,1,38.16,132,924.3589743589744,4.358974358974359,Obese
39,Female,64.3,1.69,190,148,58,1.25,925.0,HIIT,26.9,1.9,4,2,22.51,132,740.0,1.52,Normal
42,Female,63.7,1.71,173,169,62,1.42,1080.0,Yoga,26.1,1.8,3,2,21.78,111,760.5633802816902,1.267605633802817,Normal
44,Male,65.2,1.8,192,139,68,0.73,502.0,HIIT,27.2,2.7,2,1,20.12,124,687.6712328767123,3.6986301369863015,Normal
59,Male,53.9,1.75,168,135,69,1.48,989.0,Strength,21.6,2.8,4,2,17.6,99,668.2432432432432,1.8918918918918919,Underweight
45,Male,84.9,1.86,186,136,66,1.64,1104.0,HIIT,14.2,3.5,5,3,24.54,120,673.1707317073171,2.1341463414634148,Normal
33,Female,78.0,1.68,183,135,55,1.29,871.0,HIIT,32.3,1.8,3,2,27.64,128,675.1937984496124,1.3953488372093024,Overweight
32,Male,108.2,1.8,172,138,53,1.27,964.0,HIIT,28.4,3.5,3,1,33.4,119,759.0551181102362,2.7559055118110236,Obese
20,Female,65.4,1.52,185,127,50,1.03,654.0,Yoga,28.0,2.2,4,2,28.31,135,634.9514563106796,2.1359223300970873,Overweight
54,Female,50.2,1.61,188,157,67,1.48,1046.0,HIIT,28.2,2.7,2,1,19.37,121,706.7567567567568,1.8243243243243246,Normal
24,Female,58.9,1.51,187,157,68,1.04,816.0,Cardio,31.7,2.5,2,1,25.83,119,784.6153846153846,2.4038461538461537,Overweight
38,Male,81.4,1.71,187,148,58,1.52,1237.0,HIIT,10.2,3.5,5,3,27.84,129,813.8157894736842,2.3026315789473686,Overweight
26,Male,127.6,1.73,167,160,62,1.32,1162.0,Strength,27.3,2.9,3,1,42.63,105,880.3030303030303,2.196969696969697,Obese
56,Female,59.3,1.56,182,155,57,1.26,879.0,Cardio,33.4,2.6,4,2,24.37,125,697.6190476190476,2.0634920634920637,Normal
35,Male,96.9,1.71,188,145,72,1.34,1069.0,Strength,24.2,2.9,3,2,33.14,116,797.7611940298507,2.1641791044776117,Obese
21,Male,62.6,1.81,164,150,62,1.3,1072.0,Strength,27.6,3.5,4,2,19.11,102,824.6153846153846,2.692307692307692,Normal
42,Male,45.5,1.6,166,163,64,1.31,1057.0,Strength,21.7,2.6,3,2,17.77,102,806.8702290076336,1.984732824427481,Underweight
31,Female,48.8,1.51,195,131,60,1.48,969.0,Cardio,28.2,2.0,2,1,21.4,135,654.7297297297297,1.3513513513513513,Normal
26,Female,44.3,1.6,186,136,61,1.08,734.0,Cardio,34.7,2.0,3,1,17.3,125,679.6296296296296,1.8518518518518516,Underweight
43,Male,113.2,1.83,161,134,63,1.45,962.0,Yoga,29.9,2.9,4,2,33.8,98,663.448275862069,2.0,Obese
19,Female,60.5,1.59,184,128,53,1.14,730.0,Cardio,30.1,2.2,2,1,23.93,131,640.3508771929825,1.929824561403509,Normal
37,Male,124.2,1.76,168,158,50,1.5,1304.0,HIIT,29.3,2.8,2,1,40.1,118,869.3333333333334,1.8666666666666665,Obese
45,Male,52.4,1.85,186,161,73,1.2,956.0,Strength,25.2,2.5,3,1,15.31,113,796.6666666666667,2.0833333333333335,Underweight
24,Male,54.7,1.74,160,167,53,0.84,772.0,Yoga,22.9,3.6,3,1,18.07,107,919.047619047619,4.285714285714286,Underweight
25,Male,88.1,1.95,182,131,68,1.41,1016.0,Cardio,22.7,3.0,2,1,23.17,114,720.5673758865248,2.127659574468085,Normal
52,Female,59.7,1.71,169,151,58,1.23,836.0,Strength,34.3,2.0,3,1,20.42,111,679.6747967479674,1.6260162601626016,Normal
31,Female,79.7,1.54,184,144,59,1.03,742.0,Cardio,26.7,2.3,4,2,33.61,125,720.3883495145631,2.233009708737864,Obese
34,Female,51.0,1.62,162,158,53,1.42,1122.0,Yoga,30.8,2.4,3,2,19.43,109,790.1408450704225,1.6901408450704225,Normal
53,Male,84.2,1.76,165,137,69,1.67,1133.0,Cardio,12.8,3.5,5,3,27.18,96,678.4431137724551,2.0958083832335332,Overweight
57,Male,122.1,1.89,165,134,58,1.13,750.0,Cardio,27.4,3.6,3,1,34.18,107,663.7168141592921,3.1858407079646023,Obese
21,Male,96.7,1.72,161,151,62,1.26,1046.0,Strength,25.0,2.8,3,1,32.69,99,830.1587301587301,2.222222222222222,Obese
19,Female,73.0,1.79,177,125,61,0.81,506.0,HIIT,27.7,1.6,3,1,22.78,116,624.6913580246913,1.9753086419753085,Normal
23,Male,114.8,1.6,182,163,60,1.47,1318.0,Cardio,21.7,2.7,4,2,44.84,122,896.5986394557823,1.8367346938775513,Obese
59,Female,65.5,1.52,161,162,61,1.4,1021.0,Yoga,31.2,2.1,3,2,28.35,100,729.2857142857143,1.5000000000000002,Overweight
21,Female,50.3,1.52,171,154,67,1.08,832.0,Cardio,32.2,2.6,3,1,21.77,104,770.3703703703703,2.4074074074074074,Normal
46,Female,61.0,1.71,181,153,61,1.67,1150.0,Cardio,17.8,2.7,4,3,20.86,120,688.622754491018,1.6167664670658684,Normal
35,Female,44.6,1.62,196,157,65,0.56,440.0,HIIT,32.4,2.0,2,1,16.99,131,785.7142857142857,3.571428571428571,Underweight
43,Female,58.2,1.61,179,124,54,1.04,580.0,Strength,26.4,2.6,3,2,22.45,125,557.6923076923076,2.5,Normal
51,Female,44.8,1.63,198,137,69,1.08,666.0,Yoga,33.8,2.1,4,2,16.86,129,616.6666666666666,1.9444444444444444,Underweight
27,Male,87.5,1.63,183,135,74,1.75,1299.0,Strength,12.9,3.5,5,3,32.93,109,742.2857142857143,2.0,Obese
53,Male,51.8,1.74,179,127,61,1.23,773.0,Strength,21.3,3.7,3,2,17.11,118,628.4552845528456,3.008130081300813,Underweight
31,Female,64.4,1.7,160,144,70,1.97,1418.0,Strength,17.3,2.7,5,3,22.28,90,719.7969543147208,1.3705583756345179,Normal
48,Female,67.1,1.61,160,151,74,0.62,421.0,Cardio,33.4,1.5,2,1,25.89,86,679.0322580645161,2.4193548387096775,Overweight
32,Male,85.9,1.6,176,145,60,1.99,1587.0,HIIT,14.5,3.5,5,3,33.55,116,797.4874371859297,1.7587939698492463,Obese
25,Female,65.4,1.77,160,141,58,0.89,627.0,Cardio,27.6,2.6,3,1,20.88,102,704.4943820224719,2.9213483146067416,Normal
31,Female,61.1,1.76,189,150,67,1.81,1358.0,Yoga,18.6,2.7,4,3,19.72,122,750.2762430939226,1.4917127071823204,Normal
40,Male,106.5,1.65,162,162,74,1.32,1176.0,HIIT,21.0,3.6,4,2,39.12,88,890.9090909090909,2.727272727272727,Obese
57,Female,64.0,1.52,170,129,52,1.73,1004.0,Strength,15.2,2.7,5,3,27.7,118,580.3468208092486,1.5606936416184973,Overweight
38,Female,61.4,1.54,183,131,69,1.47,963.0,HIIT,30.6,2.7,3,2,25.89,114,655.1020408163265,1.8367346938775513,Overweight
33,Female,40.5,1.63,181,147,66,1.07,786.0,Yoga,31.9,1.5,4,2,15.24,115,734.5794392523364,1.4018691588785046,Underweight
35,Male,70.1,1.79,185,125,63,1.08,743.0,Cardio,28.0,2.3,3,2,21.88,122,687.9629629629629,2.1296296296296293,Normal
41,Male,94.1,1.62,172,139,50,1.13,777.0,Cardio,23.4,3.1,4,2,35.86,122,687.6106194690266,2.7433628318584073,Obese
43,Male,55.5,1.82,160,124,66,1.08,663.0,Strength,20.1,2.0,3,1,16.76,94,613.8888888888888,1.8518518518518516,Underweight
42,Female,53.7,1.72,183,142,74,1.37,875.0,Cardio,29.8,1.6,3,1,18.15,109,638.6861313868612,1.167883211678832,Underweight
58,Female,66.1,1.75,169,128,57,0.63,363.0,Cardio,25.2,1.8,2,1,21.58,112,576.1904761904761,2.857142857142857,Normal
46,Male,103.9,1.77,194,148,54,1.18,864.0,Yoga,20.9,2.9,2,1,33.16,140,732.2033898305085,2.457627118644068,Obese
32,Female,61.7,1.58,183,135,54,1.87,1262.0,HIIT,16.6,2.7,5,3,24.72,129,674.8663101604278,1.4438502673796791,Normal
18,Female,52.3,1.74,187,165,58,1.2,990.0,Cardio,29.4,2.2,2,1,17.27,129,825.0,1.8333333333333335,Underweight
42,Female,59.5,1.74,195,141,52,1.78,1129.0,Yoga,16.4,2.7,5,3,19.65,143,634.2696629213483,1.5168539325842698,Normal
24,Female,72.9,1.76,175,127,68,0.86,546.0,Yoga,30.8,1.5,3,1,23.53,107,634.8837209302326,1.744186046511628,Normal
26,Female,76.7,1.63,199,139,72,1.08,751.0,Strength,25.6,1.7,2,1,28.87,127,695.3703703703703,1.574074074074074,Overweight
41,Male,72.1,1.83,175,133,58,1.13,744.0,Yoga,21.4,2.8,3,2,21.53,117,658.4070796460178,2.47787610619469,Normal
18,Female,54.8,1.68,176,158,71,1.27,1003.0,Strength,32.0,2.2,4,2,19.42,105,789.763779527559,1.7322834645669292,Normal
25,Male,105.0,1.88,174,156,67,1.34,1150.0,Cardio,21.4,2.3,3,2,29.71,107,858.2089552238806,1.716417910447761,Overweight
41,Female,55.0,1.55,175,169,65,1.45,1103.0,Strength,31.4,2.0,4,2,22.89,110,760.6896551724138,1.3793103448275863,Normal
28,Male,81.6,1.66,174,153,50,1.09,917.0,Yoga,20.5,3.5,4,2,29.61,124,841.2844036697247,3.2110091743119265,Overweight
34,Female,75.6,1.6,193,130,51,0.64,416.0,HIIT,29.1,2.7,2,1,29.53,142,650.0,4.21875,Overweight
25,Male,81.5,1.61,170,159,63,1.93,1688.0,HIIT,10.9,3.5,4,3,31.44,107,874.6113989637306,1.8134715025906736,Obese
52,Female,61.5,1.69,160,152,63,1.8,1231.0,Cardio,15.5,2.7,4,3,21.53,97,683.8888888888889,1.5,Normal
52,Male,74.0,1.63,174,150,50,1.26,936.0,Cardio,25.7,3.7,3,2,27.85,124,742.8571428571429,2.9365079365079367,Overweight
50,Female,56.4,1.59,185,163,74,1.26,924.0,HIIT,34.3,2.6,3,1,22.31,111,733.3333333333334,2.0634920634920637,Normal
22,Male,102.6,1.84,163,153,65,1.25,1052.0,Strength,20.5,2.7,3,2,30.3,98,841.6,2.16,Obese
59,Female,54.6,1.57,164,169,64,0.58,441.0,Cardio,29.2,2.3,3,1,22.15,100,760.344827586207,3.9655172413793105,Normal
56,Male,129.0,1.78,194,126,64,1.29,805.0,Yoga,27.1,2.7,2,1,40.71,130,624.031007751938,2.0930232558139537,Obese
58,Male,103.5,1.66,172,168,61,1.33,1106.0,Cardio,24.6,3.1,3,1,37.56,111,831.578947368421,2.3308270676691727,Obese
45,Female,59.4,1.51,169,142,65,1.15,735.0,Strength,33.1,1.9,4,2,26.05,104,639.1304347826087,1.6521739130434783,Overweight
24,Female,60.1,1.79,170,165,63,1.97,1625.0,Cardio,15.9,2.7,4,3,18.76,107,824.8730964467005,1.3705583756345179,Normal
26,Male,77.7,1.62,177,126,73,1.16,804.0,Yoga,29.6,3.0,3,2,29.61,104,693.1034482758621,2.586206896551724,Overweight
25,Female,41.2,1.62,193,144,64,1.49,1073.0,Yoga,28.9,2.1,4,2,15.7,129,720.1342281879195,1.4093959731543624,Underweight
29,Male,58.6,1.61,198,122,72,1.2,805.0,Yoga,23.4,2.0,3,2,22.61,126,670.8333333333334,1.6666666666666667,Normal
51,Male,109.3,1.78,182,157,64,0.54,420.0,Strength,28.7,3.3,3,1,34.5,118,777.7777777777777,6.111111111111111,Obese
50,Male,69.6,1.96,166,139,68,0.97,667.0,Strength,25.6,2.0,3,1,18.12,98,687.6288659793814,2.061855670103093,Underweight
40,Female,56.2,1.79,198,153,57,1.79,1369.0,Yoga,17.6,2.7,5,3,17.54,141,764.804469273743,1.5083798882681565,Underweight
41,Male,71.7,1.96,162,168,51,0.51,424.0,Yoga,27.3,2.5,2,1,18.66,111,831.3725490196078,4.901960784313726,Normal
54,Male,86.0,1.93,171,163,51,1.74,1404.0,Strength,12.9,3.5,5,3,23.09,120,806.8965517241379,2.0114942528735633,Normal
52,Female,79.4,1.59,166,163,59,1.39,1020.0,Strength,26.6,1.5,3,2,31.41,107,733.8129496402878,1.0791366906474822,Obese
57,Female,78.4,1.62,185,149,52,1.01,677.0,Strength,31.7,2.0,4,2,29.87,133,670.2970297029702,1.9801980198019802,Overweight
39,Female,55.4,1.6,192,136,72,1.44,979.0,HIIT,26.3,1.6,3,2,21.64,120,679.8611111111111,1.1111111111111112,Normal
44,Female,61.7,1.55,196,129,66,1.41,819.0,Strength,33.1,2.6,4,2,25.68,130,580.8510638297872,1.843971631205674,Overweight
52,Male,85.5,1.82,174,154,57,1.78,1357.0,Yoga,14.9,3.5,4,3,25.81,117,762.3595505617977,1.9662921348314606,Overweight
18,Male,87.6,1.93,161,139,72,1.72,1315.0,HIIT,11.9,3.5,4,3,23.52,89,764.5348837209302,2.0348837209302326,Normal
52,Male,82.4,1.72,166,137,53,1.01,685.0,Strength,24.4,2.7,4,2,27.85,113,678.2178217821782,2.6732673267326734,Overweight
54,Male,67.0,1.68,191,164,63,0.55,446.0,Yoga,20.5,2.8,3,1,23.74,128,810.9090909090909,5.09090909090909,Normal
31,Female,42.3,1.6,163,163,70,1.09,888.0,Cardio,25.1,1.9,3,2,16.52,93,814.6788990825687,1.7431192660550456,Underweight
20,Male,82.7,1.99,179,146,59,1.69,1357.0,HIIT,14.6,3.5,5,3,20.88,120,802.9585798816569,2.0710059171597632,Normal
18,Male,92.4,1.74,195,168,50,1.41,1303.0,Yoga,21.3,3.1,2,1,30.52,145,924.113475177305,2.1985815602836882,Obese
22,Female,63.2,1.54,191,155,53,1.02,790.0,Cardio,29.5,2.4,4,2,26.65,138,774.5098039215686,2.3529411764705883,Overweight
43,Male,82.7,1.85,187,142,50,1.22,858.0,Yoga,28.2,3.1,4,2,24.16,137,703.2786885245902,2.540983606557377,Normal
31,Male,86.6,1.76,172,151,66,1.29,1071.0,Strength,28.9,3.3,3,2,27.96,106,830.2325581395348,2.5581395348837206,Overweight
56,Male,129.5,1.95,160,129,66,1.0,639.0,Strength,25.2,3.5,2,1,34.06,94,639.0,3.5,Obese
44,Male,98.0,1.83,194,130,56,1.28,824.0,Cardio,25.7,3.5,4,2,29.26,138,643.75,2.734375,Overweight
26,Male,86.2,1.68,189,157,72,1.97,1701.0,Strength,13.3,3.5,5,3,30.54,117,863.4517766497462,1.7766497461928934,Obese
32,Male,78.6,1.62,195,125,69,1.28,880.0,Yoga,29.6,3.1,3,1,29.95,126,687.5,2.421875,Overweight
32,Female,59.0,1.66,184,160,64,0.51,408.0,Cardio,31.0,1.8,2,1,21.41,120,800.0,3.5294117647058822,Normal
43,Female,57.3,1.79,175,166,62,1.98,1479.0,Yoga,17.8,2.7,4,3,17.88,113,746.969696969697,1.3636363636363638,Underweight
59,Male,122.3,1.89,178,153,51,0.66,500.0,Yoga,20.1,3.1,3,1,34.24,127,757.5757575757575,4.696969696969697,Obese
30,Male,85.3,1.95,160,155,68,1.61,1373.0,Yoga,10.4,3.5,5,3,22.43,92,852.7950310559006,2.1739130434782608,Normal
49,Female,45.2,1.74,164,156,73,1.24,870.0,Strength,30.8,2.1,3,2,14.93,91,701.6129032258065,1.6935483870967742,Underweight
56,Male,55.6,1.92,181,136,62,0.68,458.0,Strength,29.4,3.2,3,1,15.08,119,673.5294117647059,4.705882352941177,Underweight
49,Male,82.8,1.95,183,159,73,1.91,1503.0,Yoga,14.3,3.5,5,3,21.78,110,786.910994764398,1.8324607329842932,Normal
21,Male,125.2,1.66,196,159,60,1.38,1207.0,HIIT,29.8,3.4,3,2,45.43,136,874.6376811594204,2.4637681159420293,Obese
47,Female,58.5,1.79,195,131,71,1.42,837.0,Yoga,30.3,2.4,4,2,18.26,124,589.4366197183099,1.6901408450704225,Underweight
54,Male,86.1,1.95,195,140,64,1.17,811.0,Yoga,27.9,3.4,2,1,22.64,131,693.1623931623932,2.905982905982906,Normal
40,Female,63.5,1.61,163,159,59,1.31,1041.0,Cardio,33.4,1.6,3,2,24.5,104,794.6564885496183,1.2213740458015268,Normal
56,Male,69.3,1.68,195,138,58,0.66,451.0,Yoga,26.5,2.1,2,1,24.55,137,683.3333333333333,3.1818181818181817,Normal
32,Female,70.5,1.62,177,122,58,1.24,756.0,Strength,28.4,1.8,2,1,26.86,119,609.6774193548387,1.4516129032258065,Overweight
46,Female,60.1,1.65,175,137,69,1.69,1042.0,Cardio,17.3,2.7,4,3,22.08,106,616.5680473372781,1.5976331360946747,Normal
53,Male,94.1,1.95,177,138,50,0.89,608.0,HIIT,28.6,3.5,3,1,24.75,127,683.1460674157303,3.932584269662921,Normal
30,Female,79.2,1.62,181,166,66,1.26,1046.0,Cardio,28.0,2.5,4,2,30.18,115,830.1587301587301,1.9841269841269842,Obese
49,Male,115.3,1.91,161,125,61,1.38,854.0,HIIT,29.2,3.2,2,1,31.61,100,618.840579710145,2.3188405797101455,Obese
24,Female,62.9,1.79,180,135,59,1.42,958.0,Cardio,27.3,2.3,4,2,19.63,121,674.6478873239437,1.619718309859155,Normal
39,Male,62.0,1.64,195,127,54,0.97,678.0,Cardio,27.5,3.2,3,1,23.05,141,698.9690721649484,3.2989690721649487,Normal
45,Male,88.5,1.78,198,167,67,1.53,1265.0,HIIT,13.2,3.5,4,3,27.93,131,826.7973856209151,2.287581699346405,Overweight
19,Female,73.9,1.77,198,137,64,1.28,877.0,Strength,32.5,2.6,3,2,23.59,134,685.15625,2.03125,Normal
59,Male,50.3,1.95,188,167,55,1.07,885.0,Strength,24.4,3.4,3,1,13.23,133,827.1028037383177,3.177570093457944,Underweight
23,Male,83.1,1.8,185,162,56,0.7,624.0,Strength,29.3,3.1,3,1,25.65,129,891.4285714285714,4.428571428571429,Overweight
45,Female,65.1,1.78,180,158,66,1.46,1038.0,Cardio,31.3,2.3,3,1,20.55,114,710.9589041095891,1.5753424657534245,Normal
45,Male,46.6,1.79,176,168,55,1.46,1214.0,Yoga,22.9,2.4,3,2,14.54,121,831.5068493150685,1.643835616438356,Underweight
37,Male,103.5,1.89,175,168,57,0.54,499.0,Cardio,26.4,3.1,2,1,28.97,118,924.074074074074,5.7407407407407405,Overweight
47,Female,61.9,1.54,190,131,61,1.95,1150.0,Yoga,16.4,2.7,4,3,26.1,129,589.7435897435897,1.3846153846153848,Overweight
28,Female,52.0,1.61,168,164,70,1.32,1082.0,Yoga,27.9,2.0,3,2,20.06,98,819.6969696969696,1.5151515151515151,Normal
45,Male,113.4,1.71,190,129,63,0.83,530.0,Strength,24.0,2.3,2,1,38.78,127,638.5542168674699,2.7710843373493974,Obese
42,Male,62.9,1.98,173,126,61,1.42,886.0,Yoga,28.5,3.4,4,2,16.04,112,623.943661971831,2.3943661971830985,Underweight
56,Female,40.4,1.8,196,165,72,1.23,913.0,Cardio,30.0,2.1,4,2,12.47,124,742.2764227642276,1.707317073170732,Underweight
50,Female,67.1,1.75,161,120,59,0.67,362.0,Cardio,31.8,2.7,3,1,21.91,102,540.2985074626865,4.029850746268656,Normal
18,Male,70.0,1.61,173,168,71,1.3,1201.0,Strength,23.9,2.5,2,1,27.01,102,923.8461538461538,1.923076923076923,Overweight
44,Female,69.5,1.75,192,155,69,1.02,711.0,HIIT,27.6,2.1,3,1,22.69,123,697.0588235294117,2.058823529411765,Normal
30,Male,107.9,1.66,194,140,64,1.08,832.0,Cardio,29.5,2.8,3,2,39.16,130,770.3703703703703,2.592592592592592,Obese
58,Male,109.0,1.91,198,156,56,1.49,1151.0,Yoga,26.0,2.2,3,2,29.88,142,772.48322147651,1.476510067114094,Overweight
20,Male,101.0,1.91,179,143,58,1.36,1070.0,Cardio,29.3,2.7,3,2,27.69,121,786.7647058823529,1.9852941176470589,Overweight
56,Male,88.5,1.85,161,144,59,1.57,1119.0,Cardio,11.0,3.5,4,3,25.86,102,712.7388535031847,2.229299363057325,Overweight
23,Male,80.9,1.8,178,126,59,1.55,1074.0,Cardio,10.7,3.5,4,3,24.97,119,692.9032258064516,2.258064516129032,Normal
25,Female,43.1,1.62,196,161,65,1.04,837.0,HIIT,33.6,1.8,4,2,16.42,131,804.8076923076923,1.7307692307692308,Underweight
44,Female,59.1,1.52,177,136,56,1.58,967.0,Yoga,18.4,2.7,5,3,25.58,121,612.0253164556962,1.7088607594936709,Overweight
26,Female,54.0,1.53,175,148,54,1.14,844.0,Strength,26.9,1.7,3,1,23.07,121,740.3508771929825,1.4912280701754388,Normal
54,Female,72.3,1.78,163,149,72,1.27,852.0,Cardio,27.7,1.8,2,1,22.82,91,670.8661417322835,1.4173228346456692,Normal
50,Male,51.1,1.98,171,126,52,0.92,574.0,Yoga,28.0,2.4,2,1,13.03,119,623.9130434782609,2.6086956521739126,Underweight
59,Male,89.4,1.72,188,152,67,1.08,813.0,Yoga,24.5,3.2,3,1,30.22,121,752.7777777777777,2.962962962962963,Obese
41,Male,51.5,1.8,166,126,60,1.09,680.0,Strength,26.7,2.1,4,2,15.9,106,623.8532110091743,1.926605504587156,Underweight
32,Male,87.9,1.88,173,143,64,1.52,1195.0,Cardio,11.6,3.5,5,3,24.87,109,786.1842105263157,2.3026315789473686,Normal
49,Female,42.0,1.52,171,130,70,1.1,644.0,HIIT,28.8,2.2,3,1,18.18,101,585.4545454545454,2.0,Underweight
49,Male,79.2,1.72,194,128,69,1.46,925.0,Yoga,29.9,3.3,3,1,26.77,125,633.5616438356165,2.26027397260274,Overweight
41,Male,64.8,1.71,164,131,54,1.2,778.0,Strength,22.5,2.8,3,2,22.16,110,648.3333333333334,2.3333333333333335,Normal
58,Female,63.0,1.78,176,154,73,1.58,1095.0,HIIT,17.5,2.7,4,3,19.88,103,693.0379746835442,1.7088607594936709,Normal
29,Female,56.2,1.77,191,123,61,0.68,418.0,Yoga,33.4,2.6,3,1,17.94,130,614.7058823529411,3.8235294117647056,Underweight
56,Female,52.9,1.64,169,155,53,1.1,767.0,Cardio,27.4,2.3,3,2,19.67,116,697.2727272727273,2.0909090909090904,Normal
19,Female,49.0,1.69,176,147,64,1.05,772.0,Yoga,29.2,2.4,3,1,17.16,112,735.2380952380952,2.2857142857142856,Underweight
20,Male,128.2,1.84,164,132,58,0.83,603.0,HIIT,26.2,2.3,3,1,37.87,106,726.5060240963855,2.7710843373493974,Obese
54,Male,83.6,1.86,168,142,56,1.54,1082.0,HIIT,12.4,3.5,5,3,24.16,112,702.5974025974026,2.2727272727272725,Normal
34,Female,56.2,1.77,192,138,59,1.81,1249.0,Cardio,17.3,2.7,5,3,17.94,133,690.0552486187845,1.4917127071823204,Underweight
19,Male,87.8,1.78,195,161,72,1.28,1133.0,Cardio,23.6,3.3,2,1,27.71,123,885.15625,2.578125,Overweight
19,Male,85.9,1.85,195,156,62,1.66,1424.0,Strength,12.9,3.5,4,3,25.1,133,857.8313253012049,2.108433734939759,Overweight
45,Male,51.1,1.87,177,158,57,1.44,1126.0,Cardio,26.2,3.4,4,2,14.61,120,781.9444444444445,2.361111111111111,Underweight
40,Female,57.4,1.71,168,143,61,1.87,1337.0,Strength,18.3,2.7,5,3,19.63,107,714.9732620320855,1.4438502673796791,Normal
54,Male,114.9,1.92,188,135,71,1.2,802.0,HIIT,20.7,2.6,4,2,31.17,117,668.3333333333334,2.166666666666667,Obese
49,Female,62.1,1.66,173,152,73,1.37,937.0,HIIT,31.3,1.8,3,2,22.54,100,683.941605839416,1.313868613138686,Normal
50,Male,57.1,1.91,184,131,68,1.09,707.0,Yoga,29.5,2.7,4,2,15.65,116,648.6238532110091,2.477064220183486,Underweight
18,Male,68.1,1.8,174,153,50,1.1,926.0,Yoga,25.4,3.3,4,2,21.02,124,841.8181818181818,2.9999999999999996,Normal
36,Male,69.2,1.65,165,126,65,1.23,852.0,Strength,27.2,2.7,3,1,25.42,100,692.6829268292684,2.1951219512195124,Overweight
19,Female,65.2,1.52,188,130,71,1.23,800.0,Cardio,30.6,2.4,3,1,28.22,117,650.4065040650406,1.951219512195122,Overweight
